model,location,target_end_date,target_variable,value,location_name,population
Observed Data (ECDC),BE,2020-03-14,inc hosp,1500,Belgium,11372068
Observed Data (ECDC),BE,2020-03-21,inc hosp,1475,Belgium,11372068
Observed Data (ECDC),BE,2020-03-28,inc hosp,3444,Belgium,11372068
Observed Data (ECDC),BE,2020-04-04,inc hosp,3515,Belgium,11372068
Observed Data (ECDC),BE,2020-04-11,inc hosp,2785,Belgium,11372068
Observed Data (ECDC),BE,2020-04-18,inc hosp,1895,Belgium,11372068
Observed Data (ECDC),BE,2020-04-25,inc hosp,1398,Belgium,11372068
Observed Data (ECDC),BE,2020-05-02,inc hosp,896,Belgium,11372068
Observed Data (ECDC),BE,2020-05-09,inc hosp,654,Belgium,11372068
Observed Data (ECDC),BE,2020-05-16,inc hosp,436,Belgium,11372068
Observed Data (ECDC),BE,2020-05-23,inc hosp,369,Belgium,11372068
Observed Data (ECDC),BE,2020-05-30,inc hosp,251,Belgium,11372068
Observed Data (ECDC),BE,2020-06-06,inc hosp,195,Belgium,11372068
Observed Data (ECDC),BE,2020-06-13,inc hosp,145,Belgium,11372068
Observed Data (ECDC),BE,2020-06-20,inc hosp,128,Belgium,11372068
Observed Data (ECDC),BE,2020-06-27,inc hosp,102,Belgium,11372068
Observed Data (ECDC),BE,2020-07-04,inc hosp,81,Belgium,11372068
Observed Data (ECDC),BE,2020-07-11,inc hosp,70,Belgium,11372068
Observed Data (ECDC),BE,2020-07-18,inc hosp,105,Belgium,11372068
Observed Data (ECDC),BE,2020-07-25,inc hosp,151,Belgium,11372068
Observed Data (ECDC),BE,2020-08-01,inc hosp,208,Belgium,11372068
Observed Data (ECDC),BE,2020-08-08,inc hosp,222,Belgium,11372068
Observed Data (ECDC),BE,2020-08-15,inc hosp,275,Belgium,11372068
Observed Data (ECDC),BE,2020-08-22,inc hosp,197,Belgium,11372068
Observed Data (ECDC),BE,2020-08-29,inc hosp,110,Belgium,11372068
Observed Data (ECDC),BE,2020-09-05,inc hosp,138,Belgium,11372068
Observed Data (ECDC),BE,2020-09-12,inc hosp,224,Belgium,11372068
Observed Data (ECDC),BE,2020-09-19,inc hosp,340,Belgium,11372068
