location,scenario_id,sample,horizon,target_variable,age_id,value
CZ,A,1,1 wk,inc infection,adult,7513
CZ,A,1,2 wk,inc infection,adult,6994
CZ,A,1,3 wk,inc infection,adult,6201
CZ,A,1,4 wk,inc infection,adult,5427
CZ,A,1,5 wk,inc infection,adult,4578
CZ,A,1,6 wk,inc infection,adult,3925
CZ,A,1,7 wk,inc infection,adult,3192
CZ,A,1,8 wk,inc infection,adult,2600
CZ,A,1,9 wk,inc infection,adult,2065
CZ,A,1,10 wk,inc infection,adult,1626
CZ,A,1,11 wk,inc infection,adult,1219
CZ,A,1,12 wk,inc infection,adult,977
CZ,A,1,13 wk,inc infection,adult,800
CZ,A,1,14 wk,inc infection,adult,618
CZ,A,1,15 wk,inc infection,adult,531
CZ,A,1,16 wk,inc infection,adult,407
CZ,A,1,17 wk,inc infection,adult,371
CZ,A,1,18 wk,inc infection,adult,340
CZ,A,1,19 wk,inc infection,adult,286
CZ,A,1,20 wk,inc infection,adult,307
CZ,A,1,21 wk,inc infection,adult,263
CZ,A,1,22 wk,inc infection,adult,280
CZ,A,1,23 wk,inc infection,adult,260
CZ,A,1,24 wk,inc infection,adult,264
CZ,A,1,25 wk,inc infection,adult,266
CZ,A,1,26 wk,inc infection,adult,317
CZ,A,1,27 wk,inc infection,adult,340
CZ,A,1,28 wk,inc infection,adult,385
CZ,A,1,29 wk,inc infection,adult,394
CZ,A,1,30 wk,inc infection,adult,448
CZ,A,1,31 wk,inc infection,adult,488
CZ,A,1,32 wk,inc infection,adult,519
CZ,A,1,33 wk,inc infection,adult,567
CZ,A,1,34 wk,inc infection,adult,619
CZ,A,1,35 wk,inc infection,adult,666
CZ,A,1,36 wk,inc infection,adult,783
CZ,A,1,37 wk,inc infection,adult,922
CZ,A,1,38 wk,inc infection,adult,1089
CZ,A,1,39 wk,inc infection,adult,1301
CZ,A,1,40 wk,inc infection,adult,1490
CZ,A,1,41 wk,inc infection,adult,1829
CZ,A,1,42 wk,inc infection,adult,2114
CZ,A,1,43 wk,inc infection,adult,2506
CZ,A,1,44 wk,inc infection,adult,3006
CZ,A,1,45 wk,inc infection,adult,3482
CZ,A,1,46 wk,inc infection,adult,4161
CZ,A,1,47 wk,inc infection,adult,4707
CZ,A,1,48 wk,inc infection,adult,5504
CZ,A,1,49 wk,inc infection,adult,6278
