location,scenario_id,sample,horizon,target_variable,age_id,value
DE,A,1,1 wk,inc infection,adult,6474
DE,A,1,2 wk,inc infection,adult,5654
DE,A,1,3 wk,inc infection,adult,5102
DE,A,1,4 wk,inc infection,adult,4531
DE,A,1,5 wk,inc infection,adult,3867
DE,A,1,6 wk,inc infection,adult,3259
DE,A,1,7 wk,inc infection,adult,2645
DE,A,1,8 wk,inc infection,adult,2318
DE,A,1,9 wk,inc infection,adult,1888
DE,A,1,10 wk,inc infection,adult,1530
DE,A,1,11 wk,inc infection,adult,1252
DE,A,1,12 wk,inc infection,adult,1035
DE,A,1,13 wk,inc infection,adult,890
DE,A,1,14 wk,inc infection,adult,766
DE,A,1,15 wk,inc infection,adult,657
DE,A,1,16 wk,inc infection,adult,517
DE,A,1,17 wk,inc infection,adult,484
DE,A,1,18 wk,inc infection,adult,475
DE,A,1,19 wk,inc infection,adult,419
DE,A,1,20 wk,inc infection,adult,415
DE,A,1,21 wk,inc infection,adult,396
DE,A,1,22 wk,inc infection,adult,391
DE,A,1,23 wk,inc infection,adult,403
DE,A,1,24 wk,inc infection,adult,414
DE,A,1,25 wk,inc infection,adult,415
DE,A,1,26 wk,inc infection,adult,519
DE,A,1,27 wk,inc infection,adult,558
DE,A,1,28 wk,inc infection,adult,612
DE,A,1,29 wk,inc infection,adult,686
DE,A,1,30 wk,inc infection,adult,798
DE,A,1,31 wk,inc infection,adult,884
DE,A,1,32 wk,inc infection,adult,1023
DE,A,1,33 wk,inc infection,adult,1100
DE,A,1,34 wk,inc infection,adult,1207
DE,A,1,35 wk,inc infection,adult,1457
DE,A,1,36 wk,inc infection,adult,1671
DE,A,1,37 wk,inc infection,adult,1822
DE,A,1,38 wk,inc infection,adult,1978
DE,A,1,39 wk,inc infection,adult,2267
DE,A,1,40 wk,inc infection,adult,2492
DE,A,1,41 wk,inc infection,adult,2987
DE,A,1,42 wk,inc infection,adult,3431
DE,A,1,43 wk,inc infection,adult,3984
DE,A,1,44 wk,inc infection,adult,4586
DE,A,1,45 wk,inc infection,adult,5426
DE,A,1,46 wk,inc infection,adult,5997
DE,A,1,47 wk,inc infection,adult,6862
DE,A,1,48 wk,inc infection,adult,7738
DE,A,1,49 wk,inc infection,adult,8495
DE,A,1,50 wk,inc infection,adult,9241
DE,A,1,51 wk,inc infection,adult,10009
DE,A,1,52 wk,inc infection,adult,10013
DE,A,1,53 wk,inc infection,adult,1409
DE,A,2,1 wk,inc infection,adult,5287
DE,A,2,2 wk,inc infection,adult,4785
DE,A,2,3 wk,inc infection,adult,4248
DE,A,2,4 wk,inc infection,adult,3625
DE,A,2,5 wk,inc infection,adult,3049
DE,A,2,6 wk,inc infection,adult,2574
DE,A,2,7 wk,inc infection,adult,2096
DE,A,2,8 wk,inc infection,adult,1696
DE,A,2,9 wk,inc infection,adult,1421
DE,A,2,10 wk,inc infection,adult,1113
DE,A,2,11 wk,inc infection,adult,861
DE,A,2,12 wk,inc infection,adult,678
DE,A,2,13 wk,inc infection,adult,530
DE,A,2,14 wk,inc infection,adult,445
DE,A,2,15 wk,inc infection,adult,317
DE,A,2,16 wk,inc infection,adult,277
DE,A,2,17 wk,inc infection,adult,256
DE,A,2,18 wk,inc infection,adult,223
DE,A,2,19 wk,inc infection,adult,210
DE,A,2,20 wk,inc infection,adult,213
DE,A,2,21 wk,inc infection,adult,200
DE,A,2,22 wk,inc infection,adult,194
DE,A,2,23 wk,inc infection,adult,221
DE,A,2,24 wk,inc infection,adult,232
DE,A,2,25 wk,inc infection,adult,232
DE,A,2,26 wk,inc infection,adult,246
DE,A,2,27 wk,inc infection,adult,242
DE,A,2,28 wk,inc infection,adult,279
DE,A,2,29 wk,inc infection,adult,300
DE,A,2,30 wk,inc infection,adult,354
DE,A,2,31 wk,inc infection,adult,389
DE,A,2,32 wk,inc infection,adult,452
DE,A,2,33 wk,inc infection,adult,534
DE,A,2,34 wk,inc infection,adult,584
DE,A,2,35 wk,inc infection,adult,691
DE,A,2,36 wk,inc infection,adult,793
DE,A,2,37 wk,inc infection,adult,939
DE,A,2,38 wk,inc infection,adult,1104
DE,A,2,39 wk,inc infection,adult,1215
