location,scenario_id,sample,horizon,target_variable,age_id,value
EE,A,1,1 wk,inc infection,adult,5651
EE,A,1,2 wk,inc infection,adult,4690
EE,A,1,3 wk,inc infection,adult,3933
EE,A,1,4 wk,inc infection,adult,3228
EE,A,1,5 wk,inc infection,adult,2598
EE,A,1,6 wk,inc infection,adult,2105
EE,A,1,7 wk,inc infection,adult,1681
EE,A,1,8 wk,inc infection,adult,1308
EE,A,1,9 wk,inc infection,adult,1052
EE,A,1,10 wk,inc infection,adult,799
EE,A,1,11 wk,inc infection,adult,610
EE,A,1,12 wk,inc infection,adult,516
EE,A,1,13 wk,inc infection,adult,424
EE,A,1,14 wk,inc infection,adult,360
EE,A,1,15 wk,inc infection,adult,329
EE,A,1,16 wk,inc infection,adult,296
EE,A,1,17 wk,inc infection,adult,258
EE,A,1,18 wk,inc infection,adult,244
EE,A,1,19 wk,inc infection,adult,242
EE,A,1,20 wk,inc infection,adult,249
EE,A,1,21 wk,inc infection,adult,263
EE,A,1,22 wk,inc infection,adult,235
EE,A,1,23 wk,inc infection,adult,239
EE,A,1,24 wk,inc infection,adult,263
EE,A,1,25 wk,inc infection,adult,285
EE,A,1,26 wk,inc infection,adult,323
EE,A,1,27 wk,inc infection,adult,337
EE,A,1,28 wk,inc infection,adult,376
EE,A,1,29 wk,inc infection,adult,419
EE,A,1,30 wk,inc infection,adult,445
EE,A,1,31 wk,inc infection,adult,528
EE,A,1,32 wk,inc infection,adult,589
EE,A,1,33 wk,inc infection,adult,700
EE,A,1,34 wk,inc infection,adult,814
EE,A,1,35 wk,inc infection,adult,944
EE,A,1,36 wk,inc infection,adult,1124
EE,A,1,37 wk,inc infection,adult,1326
EE,A,1,38 wk,inc infection,adult,1520
EE,A,1,39 wk,inc infection,adult,1846
EE,A,1,40 wk,inc infection,adult,2250
EE,A,1,41 wk,inc infection,adult,2715
EE,A,1,42 wk,inc infection,adult,3438
EE,A,1,43 wk,inc infection,adult,4282
EE,A,1,44 wk,inc infection,adult,5254
EE,A,1,45 wk,inc infection,adult,6402
EE,A,1,46 wk,inc infection,adult,7609
EE,A,1,47 wk,inc infection,adult,8767
EE,A,1,48 wk,inc infection,adult,10148
EE,A,1,49 wk,inc infection,adult,11398
EE,A,1,50 wk,inc infection,adult,12280
EE,A,1,51 wk,inc infection,adult,12854
EE,A,1,52 wk,inc infection,adult,13018
EE,A,1,53 wk,inc infection,adult,1847
EE,A,2,1 wk,inc infection,adult,5519
EE,A,2,2 wk,inc infection,adult,4745
EE,A,2,3 wk,inc infection,adult,3664
EE,A,2,4 wk,inc infection,adult,3009
EE,A,2,5 wk,inc infection,adult,2408
EE,A,2,6 wk,inc infection,adult,1812
EE,A,2,7 wk,inc infection,adult,1350
EE,A,2,8 wk,inc infection,adult,1072
EE,A,2,9 wk,inc infection,adult,775
EE,A,2,10 wk,inc infection,adult,575
EE,A,2,11 wk,inc infection,adult,414
EE,A,2,12 wk,inc infection,adult,305
EE,A,2,13 wk,inc infection,adult,249
EE,A,2,14 wk,inc infection,adult,214
EE,A,2,15 wk,inc infection,adult,197
EE,A,2,16 wk,inc infection,adult,149
EE,A,2,17 wk,inc infection,adult,148
EE,A,2,18 wk,inc infection,adult,141
EE,A,2,19 wk,inc infection,adult,138
EE,A,2,20 wk,inc infection,adult,142
EE,A,2,21 wk,inc infection,adult,122
EE,A,2,22 wk,inc infection,adult,174
EE,A,2,23 wk,inc infection,adult,167
EE,A,2,24 wk,inc infection,adult,155
EE,A,2,25 wk,inc infection,adult,177
EE,A,2,26 wk,inc infection,adult,189
EE,A,2,27 wk,inc infection,adult,205
EE,A,2,28 wk,inc infection,adult,177
EE,A,2,29 wk,inc infection,adult,243
EE,A,2,30 wk,inc infection,adult,270
EE,A,2,31 wk,inc infection,adult,286
EE,A,2,32 wk,inc infection,adult,319
EE,A,2,33 wk,inc infection,adult,356
EE,A,2,34 wk,inc infection,adult,451
EE,A,2,35 wk,inc infection,adult,486
EE,A,2,36 wk,inc infection,adult,604
EE,A,2,37 wk,inc infection,adult,760
EE,A,2,38 wk,inc infection,adult,913
EE,A,2,39 wk,inc infection,adult,1091
EE,A,2,40 wk,inc infection,adult,1371
EE,A,2,41 wk,inc infection,adult,1753
EE,A,2,42 wk,inc infection,adult,2046
EE,A,2,43 wk,inc infection,adult,2708
EE,A,2,44 wk,inc infection,adult,3262
EE,A,2,45 wk,inc infection,adult,4103
EE,A,2,46 wk,inc infection,adult,5033
EE,A,2,47 wk,inc infection,adult,6138
EE,A,2,48 wk,inc infection,adult,7392
EE,A,2,49 wk,inc infection,adult,8284
EE,A,2,50 wk,inc infection,adult,9271
EE,A,2,51 wk,inc infection,adult,9766
EE,A,2,52 wk,inc infection,adult,10035
EE,A,2,53 wk,inc infection,adult,1416
EE,A,3,1 wk,inc infection,adult,7243
EE,A,3,2 wk,inc infection,adult,6107
EE,A,3,3 wk,inc infection,adult,5125
EE,A,3,4 wk,inc infection,adult,4009
EE,A,3,5 wk,inc infection,adult,3108
EE,A,3,6 wk,inc infection,adult,2379
EE,A,3,7 wk,inc infection,adult,1924
EE,A,3,8 wk,inc infection,adult,1406
EE,A,3,9 wk,inc infection,adult,1024
EE,A,3,10 wk,inc infection,adult,824
EE,A,3,11 wk,inc infection,adult,693
EE,A,3,12 wk,inc infection,adult,503
EE,A,3,13 wk,inc infection,adult,398
EE,A,3,14 wk,inc infection,adult,328
EE,A,3,15 wk,inc infection,adult,270
EE,A,3,16 wk,inc infection,adult,279
EE,A,3,17 wk,inc infection,adult,250
EE,A,3,18 wk,inc infection,adult,202
EE,A,3,19 wk,inc infection,adult,200
EE,A,3,20 wk,inc infection,adult,205
EE,A,3,21 wk,inc infection,adult,205
EE,A,3,22 wk,inc infection,adult,196
EE,A,3,23 wk,inc infection,adult,190
EE,A,3,24 wk,inc infection,adult,213
EE,A,3,25 wk,inc infection,adult,226
EE,A,3,26 wk,inc infection,adult,236
EE,A,3,27 wk,inc infection,adult,262
EE,A,3,28 wk,inc infection,adult,302
EE,A,3,29 wk,inc infection,adult,329
EE,A,3,30 wk,inc infection,adult,359
EE,A,3,31 wk,inc infection,adult,414
EE,A,3,32 wk,inc infection,adult,486
EE,A,3,33 wk,inc infection,adult,527
EE,A,3,34 wk,inc infection,adult,608
EE,A,3,35 wk,inc infection,adult,689
EE,A,3,36 wk,inc infection,adult,815
EE,A,3,37 wk,inc infection,adult,1042
EE,A,3,38 wk,inc infection,adult,1283
EE,A,3,39 wk,inc infection,adult,1531
EE,A,3,40 wk,inc infection,adult,1889
EE,A,3,41 wk,inc infection,adult,2273
EE,A,3,42 wk,inc infection,adult,2959
EE,A,3,43 wk,inc infection,adult,3693
EE,A,3,44 wk,inc infection,adult,4624
EE,A,3,45 wk,inc infection,adult,5711
EE,A,3,46 wk,inc infection,adult,6981
EE,A,3,47 wk,inc infection,adult,8380
EE,A,3,48 wk,inc infection,adult,9678
EE,A,3,49 wk,inc infection,adult,11059
EE,A,3,50 wk,inc infection,adult,12061
EE,A,3,51 wk,inc infection,adult,12828
EE,A,3,52 wk,inc infection,adult,12990
EE,A,3,53 wk,inc infection,adult,1785
EE,A,4,1 wk,inc infection,adult,4014
EE,A,4,2 wk,inc infection,adult,3248
EE,A,4,3 wk,inc infection,adult,2650
EE,A,4,4 wk,inc infection,adult,1991
EE,A,4,5 wk,inc infection,adult,1554
EE,A,4,6 wk,inc infection,adult,1159
EE,A,4,7 wk,inc infection,adult,944
EE,A,4,8 wk,inc infection,adult,721
EE,A,4,9 wk,inc infection,adult,560
EE,A,4,10 wk,inc infection,adult,426
EE,A,4,11 wk,inc infection,adult,343
EE,A,4,12 wk,inc infection,adult,245
EE,A,4,13 wk,inc infection,adult,198
EE,A,4,14 wk,inc infection,adult,150
EE,A,4,15 wk,inc infection,adult,133
EE,A,4,16 wk,inc infection,adult,118
EE,A,4,17 wk,inc infection,adult,102
EE,A,4,18 wk,inc infection,adult,100
EE,A,4,19 wk,inc infection,adult,91
EE,A,4,20 wk,inc infection,adult,89
EE,A,4,21 wk,inc infection,adult,104
EE,A,4,22 wk,inc infection,adult,109
EE,A,4,23 wk,inc infection,adult,106
EE,A,4,24 wk,inc infection,adult,124
EE,A,4,25 wk,inc infection,adult,131
EE,A,4,26 wk,inc infection,adult,143
EE,A,4,27 wk,inc infection,adult,156
EE,A,4,28 wk,inc infection,adult,187
EE,A,4,29 wk,inc infection,adult,196
