location,scenario_id,sample,horizon,target_variable,age_id,value
ES,A,1,1 wk,inc infection,adult,5312
ES,A,1,2 wk,inc infection,adult,4821
ES,A,1,3 wk,inc infection,adult,4345
ES,A,1,4 wk,inc infection,adult,3852
ES,A,1,5 wk,inc infection,adult,3380
ES,A,1,6 wk,inc infection,adult,2844
ES,A,1,7 wk,inc infection,adult,2392
ES,A,1,8 wk,inc infection,adult,1995
ES,A,1,9 wk,inc infection,adult,1602
ES,A,1,10 wk,inc infection,adult,1326
ES,A,1,11 wk,inc infection,adult,1094
ES,A,1,12 wk,inc infection,adult,916
ES,A,1,13 wk,inc infection,adult,710
ES,A,1,14 wk,inc infection,adult,628
ES,A,1,15 wk,inc infection,adult,485
ES,A,1,16 wk,inc infection,adult,422
ES,A,1,17 wk,inc infection,adult,358
ES,A,1,18 wk,inc infection,adult,327
ES,A,1,19 wk,inc infection,adult,292
ES,A,1,20 wk,inc infection,adult,264
ES,A,1,21 wk,inc infection,adult,257
ES,A,1,22 wk,inc infection,adult,250
ES,A,1,23 wk,inc infection,adult,264
ES,A,1,24 wk,inc infection,adult,280
ES,A,1,25 wk,inc infection,adult,281
ES,A,1,26 wk,inc infection,adult,296
ES,A,1,27 wk,inc infection,adult,315
ES,A,1,28 wk,inc infection,adult,316
ES,A,1,29 wk,inc infection,adult,379
ES,A,1,30 wk,inc infection,adult,376
ES,A,1,31 wk,inc infection,adult,417
ES,A,1,32 wk,inc infection,adult,449
ES,A,1,33 wk,inc infection,adult,504
ES,A,1,34 wk,inc infection,adult,571
ES,A,1,35 wk,inc infection,adult,620
ES,A,1,36 wk,inc infection,adult,747
ES,A,1,37 wk,inc infection,adult,842
ES,A,1,38 wk,inc infection,adult,925
ES,A,1,39 wk,inc infection,adult,1084
ES,A,1,40 wk,inc infection,adult,1258
ES,A,1,41 wk,inc infection,adult,1430
ES,A,1,42 wk,inc infection,adult,1714
ES,A,1,43 wk,inc infection,adult,1870
ES,A,1,44 wk,inc infection,adult,2364
ES,A,1,45 wk,inc infection,adult,2734
ES,A,1,46 wk,inc infection,adult,3223
ES,A,1,47 wk,inc infection,adult,3785
ES,A,1,48 wk,inc infection,adult,4325
ES,A,1,49 wk,inc infection,adult,4824
ES,A,1,50 wk,inc infection,adult,5296
ES,A,1,51 wk,inc infection,adult,5680
ES,A,1,52 wk,inc infection,adult,5994
ES,A,1,53 wk,inc infection,adult,897
ES,A,2,1 wk,inc infection,adult,4460
ES,A,2,2 wk,inc infection,adult,4285
ES,A,2,3 wk,inc infection,adult,3814
