scenario_id,sample,target_variable,target_end_date,horizon,location,value,origin_date
C-2022-05-22,1,inc infection,2022-05-28,1,AT,43766.0,2022-05-22
C-2022-05-22,1,inc case,2022-05-28,1,AT,23382.0,2022-05-22
C-2022-05-22,1,inc infection,2022-06-04,2,AT,7051.0,2022-05-22
C-2022-05-22,1,inc case,2022-06-04,2,AT,13540.0,2022-05-22
C-2022-05-22,1,inc infection,2022-06-11,3,AT,3431.0,2022-05-22
C-2022-05-22,1,inc case,2022-06-11,3,AT,2208.0,2022-05-22
C-2022-05-22,1,inc infection,2022-06-18,4,AT,2161.0,2022-05-22
C-2022-05-22,1,inc case,2022-06-18,4,AT,1070.0,2022-05-22
C-2022-05-22,1,inc infection,2022-06-25,5,AT,1586.0,2022-05-22
C-2022-05-22,1,inc case,2022-06-25,5,AT,683.0,2022-05-22
C-2022-05-22,1,inc infection,2022-07-02,6,AT,1277.0,2022-05-22
C-2022-05-22,1,inc case,2022-07-02,6,AT,528.0,2022-05-22
C-2022-05-22,1,inc infection,2022-07-09,7,AT,1276.0,2022-05-22
C-2022-05-22,1,inc case,2022-07-09,7,AT,460.0,2022-05-22
C-2022-05-22,1,inc infection,2022-07-16,8,AT,2480.0,2022-05-22
C-2022-05-22,1,inc case,2022-07-16,8,AT,445.0,2022-05-22
C-2022-05-22,1,inc infection,2022-07-23,9,AT,3768.0,2022-05-22
C-2022-05-22,1,inc case,2022-07-23,9,AT,969.0,2022-05-22
C-2022-05-22,1,inc infection,2022-07-30,10,AT,5014.0,2022-05-22
C-2022-05-22,1,inc case,2022-07-30,10,AT,1380.0,2022-05-22
C-2022-05-22,1,inc infection,2022-08-06,11,AT,5336.0,2022-05-22
C-2022-05-22,1,inc case,2022-08-06,11,AT,1788.0,2022-05-22
C-2022-05-22,1,inc infection,2022-08-13,12,AT,5571.0,2022-05-22
C-2022-05-22,1,inc case,2022-08-13,12,AT,1906.0,2022-05-22
C-2022-05-22,1,inc infection,2022-08-20,13,AT,5422.0,2022-05-22
C-2022-05-22,1,inc case,2022-08-20,13,AT,1948.0,2022-05-22
C-2022-05-22,1,inc infection,2022-08-27,14,AT,5221.0,2022-05-22
C-2022-05-22,1,inc case,2022-08-27,14,AT,1907.0,2022-05-22
C-2022-05-22,1,inc infection,2022-09-03,15,AT,6890.0,2022-05-22
C-2022-05-22,1,inc case,2022-09-03,15,AT,1796.0,2022-05-22
C-2022-05-22,1,inc infection,2022-09-10,16,AT,6862.0,2022-05-22
C-2022-05-22,1,inc case,2022-09-10,16,AT,2526.0,2022-05-22
C-2022-05-22,1,inc infection,2022-09-17,17,AT,7979.0,2022-05-22
C-2022-05-22,1,inc case,2022-09-17,17,AT,2365.0,2022-05-22
C-2022-05-22,1,inc infection,2022-09-24,18,AT,10880.0,2022-05-22
C-2022-05-22,1,inc case,2022-09-24,18,AT,2895.0,2022-05-22
C-2022-05-22,1,inc infection,2022-10-01,19,AT,17340.0,2022-05-22
C-2022-05-22,1,inc case,2022-10-01,19,AT,3950.0,2022-05-22
C-2022-05-22,1,inc infection,2022-10-08,20,AT,38174.0,2022-05-22
C-2022-05-22,1,inc case,2022-10-08,20,AT,6428.0,2022-05-22
C-2022-05-22,1,inc infection,2022-10-15,21,AT,109313.0,2022-05-22
C-2022-05-22,1,inc case,2022-10-15,21,AT,14589.0,2022-05-22
C-2022-05-22,1,inc infection,2022-10-22,22,AT,356941.0,2022-05-22
C-2022-05-22,1,inc case,2022-10-22,22,AT,42604.0,2022-05-22
C-2022-05-22,1,inc infection,2022-10-29,23,AT,1001788.0,2022-05-22
C-2022-05-22,1,inc case,2022-10-29,23,AT,140593.0,2022-05-22
C-2022-05-22,1,inc infection,2022-11-05,24,AT,1812629.0,2022-05-22
C-2022-05-22,1,inc case,2022-11-05,24,AT,392628.0,2022-05-22
C-2022-05-22,1,inc infection,2022-11-12,25,AT,1386997.0,2022-05-22
C-2022-05-22,1,inc case,2022-11-12,25,AT,672950.0,2022-05-22
C-2022-05-22,1,inc infection,2022-11-19,26,AT,535077.0,2022-05-22
C-2022-05-22,1,inc case,2022-11-19,26,AT,434821.0,2022-05-22
C-2022-05-22,1,inc infection,2022-11-26,27,AT,177483.0,2022-05-22
C-2022-05-22,1,inc case,2022-11-26,27,AT,152319.0,2022-05-22
C-2022-05-22,1,inc infection,2022-12-03,28,AT,74338.0,2022-05-22
C-2022-05-22,1,inc case,2022-12-03,28,AT,51004.0,2022-05-22
C-2022-05-22,1,inc infection,2022-12-10,29,AT,44972.0,2022-05-22
C-2022-05-22,1,inc case,2022-12-10,29,AT,22965.0,2022-05-22
