location,scenario_id,horizon,age_id,target_variable,sample,value
ES,E,1 wk,child,inc hosp,1,0
ES,E,2 wk,child,inc hosp,1,0
ES,E,3 wk,child,inc hosp,1,0
ES,E,4 wk,child,inc hosp,1,0
ES,E,5 wk,child,inc hosp,1,0
ES,E,6 wk,child,inc hosp,1,0
ES,E,7 wk,child,inc hosp,1,0
ES,E,8 wk,child,inc hosp,1,0
ES,E,9 wk,child,inc hosp,1,0
ES,E,10 wk,child,inc hosp,1,0
ES,E,11 wk,child,inc hosp,1,0
ES,E,12 wk,child,inc hosp,1,0
ES,E,13 wk,child,inc hosp,1,0
ES,E,14 wk,child,inc hosp,1,0
ES,E,15 wk,child,inc hosp,1,0
ES,E,16 wk,child,inc hosp,1,0
ES,E,17 wk,child,inc hosp,1,0
ES,E,18 wk,child,inc hosp,1,0
ES,E,19 wk,child,inc hosp,1,0
ES,E,20 wk,child,inc hosp,1,0
ES,E,21 wk,child,inc hosp,1,0
ES,E,22 wk,child,inc hosp,1,0
ES,E,23 wk,child,inc hosp,1,0
ES,E,24 wk,child,inc hosp,1,0
ES,E,25 wk,child,inc hosp,1,0
ES,E,26 wk,child,inc hosp,1,0
ES,E,27 wk,child,inc hosp,1,0
ES,E,28 wk,child,inc hosp,1,0
ES,E,29 wk,child,inc hosp,1,0
ES,E,30 wk,child,inc hosp,1,0
ES,E,31 wk,child,inc hosp,1,0
ES,E,32 wk,child,inc hosp,1,0
ES,E,33 wk,child,inc hosp,1,0
ES,E,34 wk,child,inc hosp,1,0
ES,E,35 wk,child,inc hosp,1,0
ES,E,36 wk,child,inc hosp,1,0
ES,E,37 wk,child,inc hosp,1,0
ES,E,38 wk,child,inc hosp,1,0
ES,E,39 wk,child,inc hosp,1,0
ES,E,40 wk,child,inc hosp,1,0
ES,E,41 wk,child,inc hosp,1,0
ES,E,1 wk,child,inc infection,1,61756
ES,E,2 wk,child,inc infection,1,44789
ES,E,3 wk,child,inc infection,1,39330
ES,E,4 wk,child,inc infection,1,38933
ES,E,5 wk,child,inc infection,1,42386
ES,E,6 wk,child,inc infection,1,42776
ES,E,7 wk,child,inc infection,1,43736
ES,E,8 wk,child,inc infection,1,44850
ES,E,9 wk,child,inc infection,1,43832
ES,E,10 wk,child,inc infection,1,40547
ES,E,11 wk,child,inc infection,1,39164
ES,E,12 wk,child,inc infection,1,39613
ES,E,13 wk,child,inc infection,1,36647
ES,E,14 wk,child,inc infection,1,29636
ES,E,15 wk,child,inc infection,1,25535
ES,E,16 wk,child,inc infection,1,22861
ES,E,17 wk,child,inc infection,1,23295
ES,E,18 wk,child,inc infection,1,25255
ES,E,19 wk,child,inc infection,1,29635
ES,E,20 wk,child,inc infection,1,35830
ES,E,21 wk,child,inc infection,1,67879
ES,E,22 wk,child,inc infection,1,129119
ES,E,23 wk,child,inc infection,1,137885
ES,E,24 wk,child,inc infection,1,104310
ES,E,25 wk,child,inc infection,1,74035
ES,E,26 wk,child,inc infection,1,53293
ES,E,27 wk,child,inc infection,1,41679
ES,E,28 wk,child,inc infection,1,35605
ES,E,29 wk,child,inc infection,1,31767
ES,E,30 wk,child,inc infection,1,30583
ES,E,31 wk,child,inc infection,1,35045
ES,E,32 wk,child,inc infection,1,43035
ES,E,33 wk,child,inc infection,1,54373
ES,E,34 wk,child,inc infection,1,71275
ES,E,35 wk,child,inc infection,1,97746
ES,E,36 wk,child,inc infection,1,122429
ES,E,37 wk,child,inc infection,1,139944
ES,E,38 wk,child,inc infection,1,127387
ES,E,39 wk,child,inc infection,1,97111
ES,E,40 wk,child,inc infection,1,76300
ES,E,41 wk,child,inc infection,1,62154
ES,E,1 wk,child,inc death,1,0
ES,E,2 wk,child,inc death,1,0
ES,E,3 wk,child,inc death,1,0
ES,E,4 wk,child,inc death,1,0
ES,E,5 wk,child,inc death,1,0
ES,E,6 wk,child,inc death,1,0
ES,E,7 wk,child,inc death,1,0
ES,E,8 wk,child,inc death,1,0
ES,E,9 wk,child,inc death,1,0
ES,E,10 wk,child,inc death,1,0
ES,E,11 wk,child,inc death,1,0
ES,E,12 wk,child,inc death,1,0
ES,E,13 wk,child,inc death,1,0
ES,E,14 wk,child,inc death,1,0
ES,E,15 wk,child,inc death,1,0
ES,E,16 wk,child,inc death,1,0
ES,E,17 wk,child,inc death,1,0
ES,E,18 wk,child,inc death,1,0
ES,E,19 wk,child,inc death,1,0
ES,E,20 wk,child,inc death,1,0
ES,E,21 wk,child,inc death,1,0
